transaction_id,invoice_id,buyer_id,seller_id,crop,crop_category,quantity_kg,price_per_kg,invoice_amount,procurement_date,delivery_date,payment_due_date,actual_payment_date,payment_status,amount_paid,outstanding_amount,days_past_due,order_status,quantity_ordered,quantity_delivered,quality_accepted,quality_dispute,transaction_dispute,cancelled,partial_payment,digital_passport_verified,dispatch_verified,receiving_verified,invoice_verified,payment_verified,buyer_location,seller_location,transport_distance_km,expected_shelf_life_days,crop_perishability_score,market_price_at_procurement,expected_sale_price,actual_sale_price,downstream_sale_date,created_at,updated_at,next_cycle_30dpd
TXN_0005137,INV_0005137,BUYER_0058,SELLER_00464,Onion,vegetable,168.55,31.84,5366.89,2023-01-01,2023-01-01,2023-01-08,2023-01-20,PAID,5366.89,0,12,COMPLETED,168.55,160.42,True,False,False,False,False,True,True,True,True,True,REGION_10,REGION_6,75.6,45,0.45,30.78,35.03,40.9,2023-01-03,2023-01-01,2023-01-20,0
TXN_0001231,INV_0001231,BUYER_0289,SELLER_00624,Rice,grain,227.53,84.57,19241.29,2023-01-01,2023-01-03,2023-01-08,2023-01-08,PAID,19241.29,0,0,COMPLETED,227.53,215.72,True,False,False,False,False,True,True,True,True,True,REGION_1,REGION_7,14.6,150,0.2,82.61,93.02,84.28,2023-01-03,2023-01-01,2023-01-08,0
TXN_0004598,INV_0004598,BUYER_0076,SELLER_00072,Wheat,grain,801.28,37.69,30203.23,2023-01-01,2023-01-02,2023-01-08,2023-01-15,PAID,30203.23,0,7,COMPLETED,801.28,774.4,True,False,False,False,False,False,True,True,True,True,REGION_4,REGION_11,105.6,180,0.15,38.66,41.46,50.48,2023-01-04,2023-01-01,2023-01-15,0
TXN_0005219,INV_0005219,BUYER_0188,SELLER_00349,Chilli,spice,247.52,25.01,6189.77,2023-01-01,2023-01-01,2023-01-08,2023-03-10,PAID,6189.77,0,61,COMPLETED,247.52,237.68,False,True,False,False,False,True,False,True,True,False,REGION_8,REGION_6,122.8,90,0.35,26.41,27.51,26.21,2023-01-04,2023-01-01,2023-03-10,1
TXN_0004121,INV_0004121,BUYER_0153,SELLER_00843,Wheat,grain,269.85,70.15,18931.25,2023-01-01,2023-01-02,2023-01-08,2023-01-27,PAID,18931.25,0,19,COMPLETED,269.85,243.07,True,False,False,False,False,True,True,True,True,True,REGION_9,REGION_0,164.0,180,0.15,66.22,77.17,82.94,2023-01-06,2023-01-01,2023-01-27,0
TXN_0003866,INV_0003866,BUYER_0157,SELLER_01086,Potato,vegetable,381.1,63.31,24125.64,2023-01-01,2023-01-02,2023-01-08,2023-01-22,PAID,24125.64,0,14,COMPLETED,381.1,357.17,True,False,False,False,False,True,True,True,True,True,REGION_1,REGION_6,175.9,50,0.4,65.68,69.64,78.86,2023-01-06,2023-01-01,2023-01-22,0
TXN_0005528,INV_0005528,BUYER_0315,SELLER_01516,Banana,fruit,457.93,42.1,19278.5,2023-01-01,2023-01-01,2023-01-08,2023-01-14,PAID,19278.5,0,6,COMPLETED,457.93,439.02,True,False,False,False,False,True,False,True,True,False,REGION_3,REGION_3,96.1,10,0.75,46.09,46.31,47.86,2023-01-05,2023-01-01,2023-01-14,0
TXN_0003145,INV_0003145,BUYER_0211,SELLER_01438,Potato,vegetable,2324.39,28.69,66681.26,2023-01-01,2023-01-02,2023-01-08,2023-01-25,PAID,66681.26,0,17,COMPLETED,2324.39,2222.3,True,False,False,False,False,True,True,True,True,True,REGION_7,REGION_8,139.2,50,0.4,28.6,31.56,31.21,2023-01-03,2023-01-01,2023-01-25,0
TXN_0004462,INV_0004462,BUYER_0238,SELLER_01377,Mango,fruit,680.43,76.18,51835.96,2023-01-02,2023-01-04,2023-01-09,2023-01-21,PAID,51835.96,0,12,COMPLETED,680.43,634.45,True,False,False,False,False,True,True,True,True,True,REGION_10,REGION_2,183.5,12,0.8,78.73,83.8,91.14,2023-01-07,2023-01-02,2023-01-21,0
TXN_0001056,INV_0001056,BUYER_0065,SELLER_01262,Potato,vegetable,605.26,80.0,48423.14,2023-01-02,2023-01-03,2023-01-09,2023-01-12,PAID,48423.14,0,3,COMPLETED,605.26,558.69,True,False,False,False,False,True,True,True,True,True,REGION_5,REGION_8,58.0,50,0.4,79.25,88.0,89.46,2023-01-06,2023-01-02,2023-01-12,0
TXN_0001311,INV_0001311,BUYER_0370,SELLER_01305,Chilli,spice,255.94,17.76,4545.63,2023-01-02,2023-01-03,2023-01-09,2023-01-25,PAID,4545.63,0,16,COMPLETED,255.94,255.15,True,False,False,False,False,False,True,True,False,True,REGION_10,REGION_1,48.3,90,0.35,17.47,19.54,20.06,2023-01-05,2023-01-02,2023-01-25,0
TXN_0000649,INV_0000649,BUYER_0371,SELLER_00753,Onion,vegetable,1162.83,55.51,64548.99,2023-01-02,2023-01-04,2023-01-09,2023-01-10,PAID,64548.99,0,1,COMPLETED,1162.83,1047.71,True,False,False,False,False,True,True,False,True,True,REGION_11,REGION_3,45.3,45,0.45,54.29,61.06,68.46,2023-01-06,2023-01-02,2023-01-10,0
TXN_0002229,INV_0002229,BUYER_0046,SELLER_00194,Mango,fruit,1537.7,75.39,115925.21,2023-01-02,2023-01-04,2023-01-09,2023-01-09,PAID,115925.21,0,0,COMPLETED,1537.7,1410.25,True,False,False,False,False,True,True,True,True,False,REGION_10,REGION_7,145.1,12,0.8,74.33,82.93,87.08,2023-01-04,2023-01-02,2023-01-09,0
TXN_0004648,INV_0004648,BUYER_0341,SELLER_00175,Rice,grain,848.53,44.57,37815.87,2023-01-02,2023-01-04,2023-01-09,2023-01-16,CANCELLED,0.0,0,7,CANCELLED,848.53,0.0,True,False,False,True,False,True,True,True,True,True,REGION_5,REGION_1,98.5,150,0.2,43.49,49.02,55.66,2023-01-08,2023-01-02,2023-01-16,0
TXN_0000770,INV_0000770,BUYER_0142,SELLER_00401,Mango,fruit,1442.56,32.11,46318.7,2023-01-03,2023-01-03,2023-01-10,2023-01-24,PAID,46318.7,0,14,COMPLETED,1442.56,1413.86,True,False,False,False,False,True,True,True,True,True,REGION_10,REGION_1,75.0,12,0.8,32.66,35.32,31.05,2023-01-08,2023-01-03,2023-01-24,0
TXN_0003590,INV_0003590,BUYER_0196,SELLER_01229,Chilli,spice,346.48,13.42,4651.29,2023-01-04,2023-01-04,2023-01-11,2023-01-18,PAID,4651.29,0,7,COMPLETED,346.48,319.25,True,False,False,False,False,True,False,True,True,True,REGION_4,REGION_9,98.8,90,0.35,13.89,14.77,14.72,2023-01-08,2023-01-04,2023-01-18,0
TXN_0001126,INV_0001126,BUYER_0116,SELLER_01322,Onion,vegetable,267.09,75.53,20173.0,2023-01-04,2023-01-04,2023-01-11,2023-02-26,PAID,20173.0,0,46,COMPLETED,267.09,250.81,True,False,False,False,False,False,True,True,True,True,REGION_8,REGION_7,125.6,45,0.45,73.28,83.08,82.92,2023-01-08,2023-01-04,2023-02-26,1
TXN_0005771,INV_0005771,BUYER_0061,SELLER_00187,Potato,vegetable,530.56,40.85,21675.55,2023-01-04,2023-01-04,2023-01-11,2023-01-20,PAID,21675.55,0,9,COMPLETED,530.56,494.22,True,False,False,False,False,False,True,True,True,True,REGION_1,REGION_5,43.3,50,0.4,40.86,44.94,52.02,2023-01-07,2023-01-04,2023-01-20,0
TXN_0000062,INV_0000062,BUYER_0270,SELLER_00913,Rice,grain,84.72,14.82,1255.65,2023-01-04,2023-01-05,2023-01-11,2023-01-11,PAID,1255.65,0,0,COMPLETED,84.72,83.55,True,False,False,False,False,True,True,True,True,True,REGION_6,REGION_5,65.3,150,0.2,15.05,16.3,16.06,2023-01-06,2023-01-04,2023-01-11,0
TXN_0003016,INV_0003016,BUYER_0114,SELLER_00406,Rice,grain,454.94,77.95,35463.01,2023-01-04,2023-01-06,2023-01-11,2023-01-16,PAID,35463.01,0,5,COMPLETED,454.94,410.73,True,False,False,False,False,True,True,True,True,True,REGION_6,REGION_1,103.5,150,0.2,76.62,85.75,84.72,2023-01-06,2023-01-04,2023-01-16,0
TXN_0000422,INV_0000422,BUYER_0154,SELLER_00042,Mango,fruit,185.0,16.1,2977.94,2023-01-04,2023-01-04,2023-01-11,2023-01-11,PAID,2977.94,0,0,COMPLETED,185.0,173.22,True,False,False,False,False,True,True,True,True,False,REGION_10,REGION_1,206.0,12,0.8,16.06,17.71,16.85,2023-01-10,2023-01-04,2023-01-11,0
TXN_0005473,INV_0005473,BUYER_0172,SELLER_00123,Chilli,spice,300.78,19.32,5812.06,2023-01-04,2023-01-04,2023-01-11,2023-01-17,PAID,5812.06,0,6,COMPLETED,300.78,294.48,True,False,False,False,False,True,False,True,False,True,REGION_4,REGION_6,38.1,90,0.35,19.15,21.26,22.09,2023-01-11,2023-01-04,2023-01-17,0
TXN_0004440,INV_0004440,BUYER_0264,SELLER_00795,Wheat,grain,797.17,57.93,46181.54,2023-01-05,2023-01-05,2023-01-12,2023-01-24,PAID,46181.54,0,12,COMPLETED,797.17,750.09,True,False,False,False,False,False,True,True,True,True,REGION_0,REGION_5,121.8,180,0.15,58.13,63.73,71.43,2023-01-12,2023-01-05,2023-01-24,0
TXN_0002519,INV_0002519,BUYER_0165,SELLER_00394,Rice,grain,506.62,50.47,25570.21,2023-01-05,2023-01-07,2023-01-12,2023-01-15,PAID,25570.21,0,3,COMPLETED,506.62,499.8,True,False,False,False,False,True,False,False,True,True,REGION_9,REGION_9,43.8,150,0.2,47.13,55.52,53.32,2023-01-09,2023-01-05,2023-01-15,0
TXN_0000478,INV_0000478,BUYER_0312,SELLER_00639,Rice,grain,419.02,71.84,30103.3,2023-01-05,2023-01-05,2023-01-12,2023-01-17,PAID,30103.3,0,5,COMPLETED,419.02,406.86,True,False,False,False,False,True,True,True,True,True,REGION_0,REGION_2,147.9,150,0.2,71.35,79.03,85.96,2023-01-10,2023-01-05,2023-01-17,0
TXN_0004376,INV_0004376,BUYER_0234,SELLER_01371,Tomato,vegetable,495.93,59.32,29420.6,2023-01-05,2023-01-05,2023-01-12,2023-01-22,PAID,29420.6,0,10,COMPLETED,495.93,460.29,True,False,False,False,False,True,True,True,False,True,REGION_6,REGION_4,197.3,8,0.9,56.16,65.26,69.45,2023-01-07,2023-01-05,2023-01-22,0
TXN_0001513,INV_0001513,BUYER_0335,SELLER_01424,Onion,vegetable,956.97,64.13,61369.78,2023-01-06,2023-01-07,2023-01-13,2023-01-27,PAID,61369.78,0,14,COMPLETED,956.97,928.42,True,False,False,False,False,True,False,True,True,True,REGION_11,REGION_3,144.0,45,0.45,67.38,70.54,75.03,2023-01-12,2023-01-06,2023-01-27,0
TXN_0001973,INV_0001973,BUYER_0055,SELLER_00157,Wheat,grain,2008.81,66.61,133814.07,2023-01-06,2023-01-07,2023-01-13,2023-01-27,PAID,133814.07,0,14,COMPLETED,2008.81,1825.07,True,False,False,False,False,True,True,False,False,True,REGION_7,REGION_10,44.9,180,0.15,61.93,73.27,70.16,2023-01-13,2023-01-06,2023-01-27,0
TXN_0000083,INV_0000083,BUYER_0324,SELLER_01446,Wheat,grain,369.06,55.33,20418.72,2023-01-06,2023-01-06,2023-01-13,2023-01-30,PAID,20418.72,0,17,COMPLETED,369.06,361.22,False,True,False,False,False,True,False,False,True,True,REGION_0,REGION_3,291.2,180,0.15,53.85,60.86,62.35,2023-01-13,2023-01-06,2023-01-30,0
